IDIndikator;skrIndikator;IDTer;nTer;IDSkolskaGodina;nRazred;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;II разред;737;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;III разред;770;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;IV разред;757;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;V разред;901;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;VI разред;899;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;VII разред;918;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS21;Регион Шумадије и Западне Србије;2021/22;VIII разред;922;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;Укупно;5139;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;I разред;582;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;II разред;583;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;III разред;588;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;IV разред;584;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;V разред;699;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;VI разред;703;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;VII разред;705;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS22;Регион Јужне и Источне Србије;2021/22;VIII разред;695;A;Коначан податак;F;Слободан за објављивање;NR;број
